X,Y,Class
-1.88211251,1.139545643,1
-5.498647515,1.865527189,1
-1.655379624,-0.706984895,1
-2.271986957,4.305105043,1
-0.924352791,-4.145908317,0
-2.365933084,-4.117389416,0
-3.519567121,4.280063846,1
-3.328375979,1.671614923,1
4.954526361,0.8757812,0
4.021356382,-1.278174934,0
4.954526361,0.8757812,0
-2.001289666,0.816483422,1
-2.755886683,0.938062337,1
-2.686786361,4.840073051,1
-1.086337066,-5.033702351,0
0.912032272,-2.51933863,0
-4.456028877,2.876596212,1
-3.159376095,2.878866443,1
-2.068724241,-7.195095101,0
-2.566535125,2.646597031,1
-4.704766249,0.734170971,1
5.292906057,-1.183186634,0
3.486828,1.032464915,0
-0.94865506,0.063912195,1
-1.734357735,-5.606191735,0
-2.422060467,0.788533525,1
-3.252603776,-0.477806233,1
-0.170576306,-2.641046899,1
-0.204798573,-1.175554318,1
0.157758546,-4.52146604,0
